Supplier Name,Supplier Details,Supplier Email,Supplier Telephone,Supplier Contact Name
A2Z CLOUD LTD,"A2Zcloud is a consultancy and solutions provider focussing on Cloud-based business management and operational systems. Using platforms like Amazon, Zoho, Zuper and low-code technology to implement innovative approaches to modern business challenges. 

Clients include  Newcross, SantaFe, Aerial Direct, ITV, Cornwall and Wiltshire County Councils and government funded Growth Hubs.",gcloud_12@a2zcloud.com,01722480300,Lucy Beck
A@38 LTD,,Barford38@gmail.com,07889 371575,Andrea Rawlings
A4S Cloud Solutions Limited,"As a Microsoft Silver Partner A4S Cloud Solutions has over 20 years extensive experience working with small, medium sized businesses and mid-market companies in the North West.

Our core focus is hybrid cloud, through the combination of Azure, Office 365, Windows 10 and Server 2016 to deliver business enabling services.",gcloudservices@a4scloud.solutions,0161 250 9310,Jason birchall
AACE Ltd,"AACE is a highly skilled and flexible IT and technical engineering solution specialist with extensive  experience in dealing with the UK MOD, government and industry.  We have a wealth of experience in providing solutions to customers' complex IT, security and cyber requirements. Please see Website www.clearwater-it.co.uk and www.aace.co.uk.",contracts@aace.co.uk,01173707755,Matt Laverton
Aardent Ltd,Specialist consultancy,billy.james-elliott@aardent.com,07898369127,Stuart Juggins
Aardvark Associates Ltd,We work with clients to find pragmatic and achievable solutions to difficult problems. We bridge the gap between deeply technical solutions and high-level business desires.,accounts@aardvark.associates,07738115468,Aardvark Associates Ltd - Accounts
Aareon UK  Ltd,"Aareon UK are the leading supplier of housing management and digital software solutions for RSL’s in the UK, enabling us to set the standards for business processes.  Offering a truly integrated, highly functional end to end solution, designed specifically to meet the needs of Social Housing in the UK.",uk.bids@aareon.com,02476323723,Ian Lockwood
AASEYA SOFTWARE SERVICES (UK) LIMITED,"Aaseya is a leading professional services company, specialising in Digital Transformation through the rapid delivery of Low Code and Digital Process Automation Technologies
Aaseya's 300 consultants specialise in the agile delivery of two leading platforms: Pega and OutSystems delivering faster time to business value for their customers",adrian.bignall@aaseya.com,07760999268,Adrian Bignall
ABACO SpA,"ABACO SpA is specialised in GIS-enabled ERPs for the Public Administration including Integrated Administration and Control Systems (IACS), Land Parcel Identification Systems (LPIS), Land Management Information Systems (LMIS), Real Estate Management Systems and related cloud services for farmers and citizens.",bid@abacogroup.eu,0118 315 1276,Jacopo Milano
Abavus.co.uk,"Since 2010 Abavus has delivered Cloud Software applications including: eforms, mobile apps, customer portals, CRM, Mobile Working, In Cab technology, Waste Management and Case Management for UK Public Sector organisations enabling transformation and channel shift. All our technology is supported by consultancy and training to ensure clients get maximum value.",info@abavus.co.uk,0208 530 2505,Darren Bird
ABEHR DIGITAL LIMITED,ABEHR Digital are a UK based SME providing Software Applications and Services to Health Trusts and Local Authorities and Social Care organisations throughout the UK.,enquiries@abehr.com,020 7043 2002,Jason Brown
Aberdeen Cyber Security Ltd.,"Aberdeen Cyber Security is a fully managed service provider and integrated cyber security company. We provide a full range of IT and cyber security services that allow for a robust, efficient and scalable solution. Achieve complete security on any level of your network, internet connection, connected devices and staff members.",info@aberdeencybersecurity.co.uk,01224 545775,Mr Dale Sutherland
ABINTRA LIMITED,"Abintra are workplace specialists with unique market leading solutions that enable clients to measure and passively manage their workplaces. 

Providing tools for way-finding / desk allocation along with cloud based analytics for continued improvement, and enabling environmental measures and controls to reduce costs and further optimise the user experience.",tbooty@abintra-consulting.com,07876685002,Tony Booty
ABM Knowledgeware Ltd.,"ABM Knowledgeware Ltd., is an  IT Company listed on Bombay Stock Exchange with exclusive focus on E-governance since 1998.  ABM has wealth of experience in  e-Governance and ERP Solutions and delivered 40+ Million G2C and G2B services in 2018. Please visit www.abmindia.com for more details about the  company.",prane@abmindia.com,9324647685,PRAKASH B RANE
ABM UNITED KINGDOM LTD,"We specialise in the development of intelligence and investigative software across law enforcement agencies, public sector and commercial organisations. We provide solutions to clients across the globe, including the United Kingdom, Australia, Hong Kong, USA, Canada and Europe.",paul.hardman@altia-abm.com,01159078030,Paul Hardman
ABRAXOR LTD,"We specialise in DevOps and SRE. 

Examples of our DevOps work include: 
- DevOps transformations 
- legacy migrations
- code pipelines
- infrastructure as code

Our SRE work improves your systems and services by increasing availability, latency, performance, and capacity.",wasim@abraxor.com,07545814380,Wasim Juned
ABSOLUTE CONSULTANCY GROUP LTD,"Proving the NHS, Public Sector and Government led agencies with a management consultative resourcing service to support and ensure delivery of successful cloud, transformational and digital transitions.",team@absolute-consultancy.com,07943853743,Daryl Riley
Acadiant Limited,"Innovative, intuitive software enabled solutions. Creators of SMART—Structured Mortality Analysis & Review Tool and Maternity Direct secure telemedicine instant messaging app.",gcloud@acadiant.com,0203 974 1159,"Jackie Kestenbaum, PhD"
Accelerate QA Limited,"We believe that every organisation has the potential to deliver better software, faster. Our expert engineers have more than 20 years of industry experience so we can offer straightforward services that combine rigorous automated testing with repeatable automated delivery processes.

Delivery Transformation, Automated Testing and DevOps Automation. Simply done better.",craig.hodgson@accelerateqa.com,07989353538,Craig Hodgson
Accelerate Technologies,"Specialising in Cyber Security and Digital Resilience through an advisory approach, we help organisations to identify vulnerabilities specific to their business, then work towards a target state to reduce the risk through a combination of technology, people and repeatable processes.",darran.clare@accelerate-technologies.com,01285323727,Darran Clare
Accenda,,frameworks@accenda.co.uk,0161 274 9730,Frameworks Teams
Accenture (UK) Limited,"Accenture provides a broad range of services and solutions in strategy/consulting, interactive, technology and operations in over 40 industries. Accenture helps clients improve performance and create sustainable value for stakeholders. Accenture has 505,000 employees in 120+ countries, and a net revenue of $43.2 billion USD as of 31st August 2019.",UK.TenderMonitoring@accenture.com,++44 (0) 7702 234537,Simon Mitchell
ACCENTURE (UK) LIMITED,Infinity Works (part of Accenture) is one of the UK’s leading digital transformation and engineering consultancies. We are unlocking the value of  the next industrial revolution for customers ranging from tier-one retailers to some of the best-loved UK brands and largest technology-led projects in government.,procurement@infinityworks.com,01133 205010,Procurement Team
Access Computer Consulting Plc,"Access Computer Consulting plc consultants deliver managed services capabilities with automation and innovative solutions to transform organisations’ technology estates for the modern workplace. We assist with defining the strategy, designing, delivering, and supporting solutions based on our product stack and bring a wealth of knowledge, methodologies, accelerators to each implementation",tony.head@accessplc.com,01256 368800,Tony Head
AccessPay,"AccessPay provides a technology platform which helps finance functions securely automate the processes around payments, collections and cash management. The platform also helps finance functions access all the siloed data across their function and the whole organisation.",charles.haworth@accesspay.com,+44 (0) 161 5168922,Charles Haworth
accessplanit,Software house specialising in providing innovative solutions to both training providers and in-house training teams.,enquiries@accessplanit.com,0845 543 0229,Joe Nixon
Access UK Ltd,"Servelec is a leading provider of Adult’s, Children's and Finance Social Care Case Management, Education Management and Youth Support software. Our integrated approach across social care, health, education/early years and youth services promotes collaborative working to share expertise and knowledge so that we continue to offer best of breed solutions.",LG.Bids@servelec.co.uk,0207 354 8000,Stacey Graham
ACCESS UK LTD,"A Tech For Good company with the purpose of engaging and empowering communities towards better health outcomes. On a mission to connect people, build communities and improve lives all over the world through digital social prescribing.",Helen@elementalsoftware.co,02871 271800,Helen McPeake
ACCIPIO DIGITAL LTD,"Accipio exists to innovate in learning and performance. We focus on two main areas: 

- digital learning: deploying Totara/Moodle LMS, and building engaging and interactive eLearning modules. 

- leadership development: delivering blended programmes and apprenticeships (accredited by CMI & ILM) to the biggest brands in the world.",sascha@accipio.com,02071172690,Sascha Benson-Cooper
Accipio Ltd,"Accipio exists to innovate in learning and performance. We focus on two main areas:

- digital learning: deploying Totara/Moodle LMS, and building engaging and interactive eLearning modules.

- leadership development: delivering blended programmes and apprenticeships (accredited by CMI & ILM) to the biggest brands in the world.",sascha@accipio.com,02071172690,Sascha Benson-Cooper
Accordant Solutions Ltd,"We understand the changing needs of business IT and our mission is to help IT organisations optimise their IT strategy, enhance performance, and reduce costs. Specialising in IT Financial Management, IT Strategy, Cyber Security, and Transformation services, we’ll work closely alongside you to create strategic plans that work.",anja.convey@accordantsolutions.co.uk,07464611996,Anja Convey
Accordio Ltd,"We are skilled at combining the delivery of technology solutions to meet commercial aims across both the public and private sector and specialise in the transformational deployment of innovative IT solutions aligning them to corporate strategy. 

Providing interim CTO and CIO support, technology due-diligence, strategy creation and implementation.",rob.neil@accordio.co.uk,07802 400407,Rob Neil
Accruent UK Ltd,"Accruent’s software suite offers industry-specific solutions for capital planning, project management, energy & sustainability management, facility & asset management, field service management, Internet of Things, lease administration & accounting, market planning & site selection, and space planning, enabling facilities functions to tactically integrated with an organization’s larger strategic initiatives.",aschafer@accruent.com,07764661582,Andrew Schafer
